region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,pct_have_motor,O_OR_Total,O_MTG_Total,R_Tot_Total,Oth_ten_type_Total,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Household,pct_house,pct_unit,pct_semi,pct_own,pct_rent,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6,Total_NofB_NS,Total_NofB_Total,Pct_NofB_1,Pct_NofB_2,Pct_NofB_3,Pct_NofB_4_or_m,Pct_Unem_loyment_P,Pct_LabForc_prticipation_P,Pct_Employment_to_populn_P,Pct_Bchelr_or_higher,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot,Pct_professionals_managers,One_method_Train_P,One_method_Bus_P,One_method_Ferry_P,One_method_Taxi_P,One_method_Car_as_driver_P,One_method_Car_as_passenger_P,One_method_Bicycle_P,One_method_Walked_only_P,pct_one_method_Train,pct_one_method_Bus,pct_one_method_Ferry,pct_one_method_Bicyle,SSC_CODE_2011,SSC_NAME_2011,CONF_VALUE,POA_CODE_2011,AREA_ALBERS_SQKM,suburb,latitude,longtitude,state
SSC10319,53,650,465,320,1031,1.1,1021,2.2,0.953125,38,14,11,0,4,67,0,0,0,0,67,1,0,0,0.776119403,0.164179104,0,16,30,18,0,0,5,64,0,0.25,0.46875,0.28125,3.4,62.1,60,0.181818182,0,6,3,9,16,0,0,3,0,37,0.162162162,0,0,0,0,55,6,0,0,0,0,0,0,10319,Boydtown,Poor,2551,86.65301251,BOYDTOWN,-37.10475,149.879014,
SSC10791,46,1500,411,175,971,1.1,784,2.3,0.900594732,461,280,446,3,32,991,69,117,45,0,1222,0.81096563,0.095744681,0.056464812,0.606382979,0.36497545,45,240,607,253,41,9,25,1195,0.037656904,0.20083682,0.507949791,0.253556485,8.1,51.1,47,0.212484994,44,65,37,109,109,96,6,87,12,565,0.197106691,0,21,0,3,674,93,3,86,0,0.017902813,0,0.002557545,10791,Eden,Very good,2551,8.16113675,EDEN,-37.10475,149.879014,
SSC11236,56,1019,408,0,956,1.1,772,1.9,0.964285714,63,33,11,0,6,93,13,0,7,0,113,0.82300885,0,0.115044248,0.849557522,0.097345133,12,28,49,11,6,0,3,106,0.113207547,0.264150943,0.462264151,0.160377358,7.3,53.5,49.6,0.211538462,11,7,3,7,9,4,0,10,0,51,0.352941176,0,0,0,0,66,7,0,0,0,0,0,0,11236,Kiah,Very poor,2551,971.6352524,KIAH,-37.10475,149.879014,
SSC11786,64,0,100,0,0,1,100,1,1,4,0,0,0,0,4,0,0,0,0,4,1,0,0,1,0,0,0,0,4,0,0,0,4,0,0,0,1,0,100,100,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,0,0,0,0,11786,Nungatta,Very good,2551,919.3072798,NUNGATTA,-37.10475,149.879014,
SSC10703,51,910,384,100,943,1,672,2.1,0.910526316,112,46,35,0,7,191,0,0,9,0,200,0.955,0,0,0.79,0.175,5,32,94,46,8,4,7,189,0.026455026,0.169312169,0.497354497,0.306878307,8.1,56.9,52.3,0.208695652,21,14,4,11,14,0,4,9,3,80,0.454545455,0,4,0,0,103,10,0,11,0,0.020100503,0,0,10703,Delegate,Acceptable,2633,1565.467627,DELEGATE,-36.933875,148.826148,
SSC10083,41,1926,532,313,1241,1.2,1133,2.8,1,46,43,8,0,3,100,0,0,0,0,100,1,0,0,0.89,0.08,3,14,36,36,6,3,3,98,0.030612245,0.142857143,0.367346939,0.459183673,2.1,66.4,65,0.325203252,8,17,6,15,9,6,0,7,0,68,0.367647059,0,0,0,0,87,8,3,3,0,0,0,0.021126761,10083,Bald Hills (NSW),Very good,2549,10.71407339,BALD HILLS (NSW),-36.912886,149.847662,
SSC11029,44,1733,428,250,1062,1.1,945,2.5,1,65,34,22,0,3,118,0,0,6,0,124,0.951612903,0,0,0.798387097,0.177419355,6,15,46,45,3,4,5,119,0.050420168,0.12605042,0.386554622,0.43697479,5.2,59.8,56.8,0.23015873,11,10,3,5,19,12,6,5,0,71,0.295774648,0,0,0,0,114,3,0,0,0,0,0,0,11029,Greigs Flat,Poor,2549,36.63865412,GREIGS FLAT,-36.912886,149.847662,
SSC11394,42,1667,457,173,1179,1.2,1030,2.8,0.972222222,44,47,13,3,4,107,0,0,4,0,111,0.963963964,0,0,0.81981982,0.117117117,6,18,44,27,9,3,3,107,0.056074766,0.168224299,0.411214953,0.364485981,5.2,64.3,60.9,0.362204724,6,20,7,12,10,6,0,6,0,67,0.388059701,0,6,0,0,93,3,0,3,0,0.041666667,0,0,11394,Lochiel (NSW),Very good,2549,52.99674583,LOCHIEL (NSW),-36.912886,149.847662,
SSC11541,60,1463,388,175,835,1.1,631,2.1,0.983240223,118,42,22,0,6,172,0,0,16,0,188,0.914893617,0,0,0.85106383,0.117021277,18,64,73,23,5,3,0,186,0.096774194,0.344086022,0.392473118,0.166666667,9.1,47.3,42.9,0.243055556,7,16,3,12,15,14,0,9,0,76,0.302631579,0,0,0,0,98,4,0,4,0,0,0,0,11541,Millingandi,Very good,2549,19.1538755,MILLINGANDI,-36.912886,149.847662,
SSC11706,44,1609,493,110,1292,1.2,1166,2.7,1,57,57,12,3,0,126,0,0,3,0,129,0.976744186,0,0,0.88372093,0.093023256,5,22,56,39,4,0,3,126,0.03968254,0.174603175,0.444444444,0.341269841,5.4,68.6,64.9,0.204225352,6,15,6,18,19,17,0,16,0,97,0.216494845,0,3,0,0,144,3,3,0,0,0.015463918,0,0.015463918,11706,Nethercote,Good,2549,93.59780729,NETHERCOTE,-36.912886,149.847662,
SSC11835,48,1365,388,210,1018,1.1,752,2.2,0.925696594,155,89,85,0,9,227,0,95,16,0,338,0.671597633,0.281065089,0,0.721893491,0.25147929,8,113,138,48,14,0,13,321,0.024922118,0.352024922,0.429906542,0.193146417,6.6,49.2,45.9,0.228346457,21,28,7,34,21,16,0,15,9,151,0.345070423,0,0,0,0,188,19,0,33,0,0,0,0,11835,Pambula,Good,2549,13.1873112,PAMBULA,-36.912886,149.847662,
SSC11836,48,1576,548,230,1177,1,939,2.4,0.964566929,127,70,58,0,6,218,3,40,0,0,261,0.835249042,0.153256705,0.011494253,0.754789272,0.222222222,0,43,128,64,19,3,6,257,0,0.167315175,0.498054475,0.33463035,6.5,54.1,50.6,0.415162455,17,36,12,28,27,12,0,6,0,138,0.384057971,3,0,0,3,181,11,4,11,0.010791367,0,0,0.014388489,11836,Pambula Beach,Very good,2549,2.13732396,PAMBULA BEACH,-36.912886,149.847662,
SSC12113,39,1492,489,225,1087,1.1,1055,2.8,1,48,64,24,0,4,140,0,0,0,0,140,1,0,0,0.8,0.171428571,0,13,79,33,6,4,5,135,0,0.096296296,0.585185185,0.318518519,6.3,62.9,58.9,0.220689655,7,16,0,25,17,21,0,9,0,95,0.242105263,0,3,0,0,124,17,0,7,0,0.015463918,0,0,12113,South Pambula,Very good,2549,5.16630758,SOUTH PAMBULA,-36.912886,149.847662,
SSC10191,47,1733,466,240,925,1,794,2.2,0.926470588,111,79,86,0,6,176,42,64,0,0,282,0.624113475,0.226950355,0.14893617,0.673758865,0.304964539,3,75,124,63,11,0,6,276,0.010869565,0.27173913,0.449275362,0.268115942,8.6,60.1,55,0.265306122,6,37,11,30,33,29,3,13,0,162,0.265432099,3,0,0,0,185,38,0,14,0.00974026,0,0,0,10191,Berrambool,Poor,2548,2.70077464,BERRAMBOOL,-36.8788,149.917402,
SSC11519,50,1300,495,200,1012,1.1,828,2,0.907865169,523,277,496,33,55,750,290,332,12,0,1384,0.541907514,0.239884393,0.209537572,0.578034682,0.358381503,99,416,547,209,57,7,38,1335,0.074157303,0.311610487,0.409737828,0.204494382,5.4,48.5,45.9,0.294619983,89,89,31,100,126,121,5,52,9,622,0.290375204,0,11,0,0,774,76,6,118,0,0.00841622,0,0.004590666,11519,Merimbula,Very good,2548,6.35932775,MERIMBULA,-36.8788,149.917402,
SSC12326,57,1621,476,280,994,1,882,2.2,0.980508475,671,296,199,12,27,977,206,22,0,0,1205,0.810788382,0.018257261,0.170954357,0.802489627,0.165145228,11,153,691,296,29,10,15,1190,0.009243697,0.128571429,0.580672269,0.281512605,4.4,42.7,40.8,0.317030568,61,101,18,104,101,79,9,23,12,508,0.326612903,0,7,0,0,698,62,3,18,0,0.006750241,0,0.00289296,12326,Tura Beach,Very good,2548,5.84440212,TURA BEACH,-36.8788,149.917402,
SSC10268,45,1083,466,150,997,1.1,887,2.2,0.908350305,226,145,123,3,15,483,13,16,0,0,512,0.943359375,0.03125,0.025390625,0.724609375,0.240234375,13,96,275,96,13,3,10,496,0.026209677,0.193548387,0.554435484,0.225806452,3.2,57.1,55.3,0.242138365,26,43,18,37,46,30,6,24,3,233,0.3,0,0,0,0,341,30,4,50,0,0,0,0.007407407,10268,Bombala,Acceptable,2632,5.18397429,BOMBALA,-36.815805,149.283408,
SSC10384,48,1800,453,0,1187,1.1,857,2.3,0.963855422,49,18,16,0,0,83,0,0,0,0,83,1,0,0,0.807228916,0.192771084,3,13,30,28,3,3,0,80,0.0375,0.1625,0.375,0.425,3.2,55.2,53.5,0.395061728,14,6,9,0,3,3,0,6,3,44,0.487804878,3,0,0,0,39,3,0,6,0.032258065,0,0,0,10384,Bungarby,Very poor,2632,1004.288524,BUNGARBY,-36.815805,149.283408,
SSC11536,48,921,534,100,1343,1.1,1199,2.2,1,50,27,17,3,5,102,0,0,0,0,102,1,0,0,0.754901961,0.166666667,3,15,47,22,3,3,8,93,0.032258065,0.161290323,0.505376344,0.301075269,2.2,70.6,69,0.225352113,20,8,0,10,14,0,0,13,0,65,0.430769231,0,0,0,0,86,8,0,5,0,0,0,0,11536,Mila,Very poor,2632,936.2712501,MILA,-36.815805,149.283408,
SSC10204,48,867,445,0,875,1.1,715,2.4,0.9375,66,23,22,3,3,114,0,0,3,0,117,0.974358974,0,0,0.760683761,0.188034188,3,25,54,22,5,0,5,109,0.027522936,0.229357798,0.495412844,0.247706422,0,54.7,54.7,0.27173913,8,9,3,5,8,0,0,12,0,45,0.377777778,0,0,0,0,67,3,4,3,0,0,0,0.032520325,10204,Bibbenluke,Very poor,2631,477.9072784,BIBBENLUKE,-36.739931,149.261211,
SSC11728,49,650,343,118,729,1.1,575,2.2,0.910891089,51,33,17,0,0,97,0,0,4,0,101,0.96039604,0,0,0.831683168,0.168316832,6,18,56,13,4,3,0,100,0.06,0.18,0.56,0.2,11.1,46.3,41.1,0.266666667,0,10,5,7,0,6,0,0,0,28,0.357142857,0,0,0,0,39,3,0,10,0,0,0,0,11728,Nimmitabel,Poor,2631,0.9693615,NIMMITABEL,-36.739931,149.261211,
SSC12523,53,975,514,0,949,1.1,919,2.2,1,44,21,8,3,3,75,0,0,4,0,79,0.949367089,0,0,0.82278481,0.101265823,0,11,31,30,0,3,0,75,0,0.146666667,0.413333333,0.44,3,63.1,61.1,0.333333333,17,5,0,0,4,3,0,9,3,41,0.578947368,0,0,0,0,43,6,3,0,0,0,0,0.03,12523,Winifred,Very poor,2631,642.1918991,WINIFRED,-36.739931,149.261211,
SSC10035,37,1105,568,203,1266,1.1,1147,2.6,0.948979592,47,22,21,3,4,94,0,3,0,0,97,0.969072165,0.030927835,0,0.711340206,0.216494845,3,10,50,26,6,0,3,95,0.031578947,0.105263158,0.526315789,0.336842105,0,72,72,0.326086957,6,17,6,9,8,12,0,12,0,70,0.328571429,0,0,0,0,84,3,3,6,0,0,0,0.020979021,10035,Angledale,Poor,2550,60.96165391,ANGLEDALE,-36.63575,149.857154,
SSC10149,42,1300,451,195,1046,1.1,838,2.4,0.899211712,675,557,553,9,56,1572,103,158,9,8,1850,0.84972973,0.085405405,0.055675676,0.665945946,0.298918919,59,346,908,417,54,6,47,1790,0.032960894,0.193296089,0.50726257,0.266480447,4.8,53.3,50.8,0.260305344,61,157,46,150,192,148,18,141,12,925,0.238773275,0,4,0,3,1144,134,27,194,0,0.002086594,0,0.014084507,10149,Bega,Very good,2550,44.41345383,BEGA,-36.63575,149.857154,
SSC10170,49,1300,367,180,795,1.1,650,2.4,0.958333333,112,76,35,3,8,225,3,0,6,0,234,0.961538462,0,0.012820513,0.803418803,0.14957265,10,39,109,45,13,0,10,216,0.046296296,0.180555556,0.50462963,0.268518519,7.8,55.5,51.2,0.280612245,17,21,13,12,16,13,0,12,3,107,0.365384615,0,0,0,0,137,5,0,22,0,0,0,0,10170,Bemboka,Very good,2550,146.246333,BEMBOKA,-36.63575,149.857154,
SSC10308,35,2100,631,220,1607,1.1,1042,2.8,0.936170213,12,15,21,0,0,48,0,0,0,0,48,1,0,0,0.5625,0.4375,3,15,17,9,0,3,0,47,0.063829787,0.319148936,0.361702128,0.255319149,8.7,72.6,66.3,0.288461538,3,10,0,6,5,6,0,0,0,30,0.433333333,0,0,0,0,41,4,0,3,0,0,0,0,10308,Bournda,Acceptable,2550,77.65086515,BOURNDA,-36.63575,149.857154,
SSC10346,53,867,396,180,1006,1.1,792,2.4,0.984536082,105,64,24,0,3,196,0,0,0,0,196,1,0,0,0.862244898,0.12244898,17,53,65,41,8,3,7,187,0.090909091,0.28342246,0.347593583,0.278074866,5.4,56.7,53.7,0.371559633,19,27,9,15,17,0,0,12,4,103,0.464646465,0,0,0,0,125,12,0,3,0,0,0,0,10346,Brogo,Very good,2550,135.4981866,BROGO,-36.63575,149.857154,
SSC10366,42,1300,624,0,1172,1.2,1190,2.7,1,61,63,10,3,3,134,0,0,6,0,140,0.957142857,0,0,0.885714286,0.071428571,0,16,60,50,4,3,0,133,0,0.120300752,0.45112782,0.428571429,1.5,65.3,64.4,0.236024845,15,24,3,20,21,0,3,6,0,92,0.423913043,0,0,0,0,136,3,0,6,0,0,0,0,10366,Buckajo,Poor,2550,107.2798604,BUCKAJO,-36.63575,149.857154,
SSC10398,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,10398,Burragate,Very poor,2550,241.1017566,BURRAGATE,-36.63575,149.857154,
SSC10448,44,1250,453,200,1069,1.1,880,2.5,1,101,104,49,3,4,256,0,0,5,0,261,0.980842912,0,0,0.785440613,0.187739464,13,43,119,71,11,3,4,260,0.05,0.165384615,0.457692308,0.326923077,6.7,62.1,57.9,0.355805243,19,40,9,26,20,16,0,18,6,154,0.398648649,0,5,0,0,217,14,0,10,0,0.015060241,0,0,10448,Candelo,Very good,2550,97.47124612,CANDELO,-36.63575,149.857154,
SSC10550,44,1040,375,170,789,1.1,656,2.5,0.939393939,108,71,57,0,7,221,3,9,10,0,243,0.909465021,0.037037037,0.012345679,0.736625514,0.234567901,17,40,127,44,8,0,5,236,0.072033898,0.169491525,0.538135593,0.220338983,5.6,48.9,46.2,0.228855721,15,24,7,33,12,10,3,11,0,115,0.339130435,0,0,0,0,124,10,0,12,0,0,0,0,10550,Cobargo,Acceptable,2550,60.82155341,COBARGO,-36.63575,149.857154,
SSC10594,51,540,457,116,850,1.1,823,2.3,1,56,30,12,0,8,103,0,0,0,3,106,0.971698113,0,0,0.811320755,0.113207547,4,14,42,34,3,0,6,97,0.041237113,0.144329897,0.432989691,0.381443299,6.3,49.1,46,0.224489796,9,12,0,3,10,9,3,4,0,50,0.42,0,3,0,0,50,4,0,8,0,0.028571429,0,0,10594,Coolagolite,Good,2550,53.06314147,COOLAGOLITE,-36.63575,149.857154,
SSC10607,47,1733,475,125,1145,1.1,907,2.5,1,53,38,12,3,0,106,0,0,0,0,106,1,0,0,0.858490566,0.113207547,3,15,44,32,7,0,4,101,0.02970297,0.148514851,0.435643564,0.386138614,0,67.9,67.9,0.277108434,11,8,3,10,16,12,0,10,0,70,0.271428571,0,0,0,0,99,5,0,0,0,0,0,0,10607,Coopers Gully,Poor,2550,43.94682222,COOPERS GULLY,-36.63575,149.857154,
SSC11170,43,1788,522,320,1147,1.1,1125,3.3,0.951612903,25,32,9,0,0,63,0,0,3,0,66,0.954545455,0,0,0.863636364,0.136363636,3,7,19,28,7,0,0,64,0.046875,0.109375,0.296875,0.546875,4,63.5,60.9,0.469879518,3,7,0,9,17,6,0,3,0,45,0.222222222,0,0,0,0,57,7,0,0,0,0,0,0,11170,Jellat Jellat,Poor,2550,31.61093339,JELLAT JELLAT,-36.63575,149.857154,
SSC11195,41,1500,576,120,1306,1.1,1261,2.6,0.986956522,101,98,30,4,4,213,0,0,24,0,237,0.898734177,0,0,0.839662447,0.126582278,17,30,114,64,11,0,0,236,0.072033898,0.127118644,0.483050847,0.31779661,2.5,61.1,59.6,0.356275304,11,40,3,32,30,18,0,10,3,147,0.354166667,0,3,0,0,214,8,5,9,0,0.00952381,0,0.015873016,11195,Kalaru,Very good,2550,14.38120252,KALARU,-36.63575,149.857154,
SSC11205,45,2167,394,200,1062,1.1,1018,2.8,0.975,51,49,20,3,0,120,0,0,3,0,123,0.975609756,0,0,0.81300813,0.162601626,0,16,53,45,3,6,0,123,0,0.130081301,0.430894309,0.43902439,5.7,60.8,57.3,0.218309859,13,13,3,10,21,7,0,4,0,71,0.366197183,0,0,0,0,89,6,0,6,0,0,0,0,11205,Kanoona,Very poor,2550,63.63765164,KANOONA,-36.63575,149.857154,
SSC11565,45,1084,435,220,1375,1.3,979,2.5,1,42,26,13,0,0,78,0,0,0,3,81,0.962962963,0,0,0.839506173,0.160493827,4,22,37,13,3,0,0,79,0.050632911,0.278481013,0.46835443,0.202531646,10.5,65.9,59,0.465346535,3,13,3,12,14,3,3,0,3,54,0.31372549,3,3,0,0,74,3,3,0,0.029126214,0.029126214,0,0.029126214,11565,Mogareeka,Very poor,2550,40.30653996,MOGAREEKA,-36.63575,149.857154,
SSC11781,41,1007,390,50,719,1.2,761,2.8,0.950819672,26,19,12,6,3,63,0,3,0,0,66,0.954545455,0.045454545,0,0.681818182,0.181818182,0,11,18,24,3,4,4,60,0,0.183333333,0.3,0.516666667,6.3,58.8,55.1,0.476923077,16,4,0,6,3,3,0,3,0,35,0.571428571,0,0,0,0,34,0,0,5,0,0,0,0,11781,Numbugga,Poor,2550,87.02118482,NUMBUGGA,-36.63575,149.857154,
SSC11924,51,953,397,180,1142,1,900,2.1,0.954545455,32,28,9,0,0,69,0,0,0,0,69,1,0,0,0.869565217,0.130434783,4,14,40,12,0,0,0,70,0.057142857,0.2,0.571428571,0.171428571,11.3,49.7,44.1,0.366666667,3,10,3,4,9,3,0,0,0,32,0.40625,3,0,0,0,42,3,0,6,0.044776119,0,0,0,11924,Quaama,Poor,2550,0.81167461,QUAAMA,-36.63575,149.857154,
SSC12211,50,1139,423,125,1187,1.1,929,2.3,1,78,45,22,0,6,151,0,0,0,0,151,1,0,0,0.814569536,0.145695364,18,29,69,29,5,0,3,150,0.12,0.193333333,0.46,0.226666667,7.6,59.5,55,0.476683938,12,28,6,17,19,0,0,4,0,86,0.465116279,0,0,0,0,101,3,0,11,0,0,0,0,12211,Tanja,Very poor,2550,354.6535436,TANJA,-36.63575,149.857154,
SSC12213,46,1200,433,173,1062,1.1,819,2.8,1,36,29,10,0,4,79,0,0,0,0,79,1,0,0,0.82278481,0.126582278,7,13,29,26,3,0,3,78,0.08974359,0.166666667,0.371794872,0.371794872,7.1,64.6,60,0.494623656,3,18,0,6,10,7,0,3,0,47,0.446808511,0,0,0,0,60,6,0,7,0,0,0,0,12213,Tantawangalo,Poor,2550,253.7710969,TANTAWANGALO,-36.63575,149.857154,
SSC12222,46,2000,651,280,1553,1,1384,2.5,1,40,27,22,0,0,89,0,0,0,0,89,1,0,0,0.752808989,0.247191011,0,10,40,36,3,0,0,89,0,0.112359551,0.449438202,0.438202247,2.2,64.3,62.9,0.207920792,3,18,3,10,15,9,0,6,0,64,0.328125,0,0,0,0,104,6,0,0,0,0,0,0,12222,Tarraganda,Acceptable,2550,5.99256952,TARRAGANDA,-36.63575,149.857154,
SSC12227,49,1300,530,200,1107,1.1,882,2.2,0.94599018,260,139,212,5,12,477,11,133,4,3,628,0.75955414,0.211783439,0.017515924,0.635350318,0.337579618,21,164,269,123,33,9,9,619,0.033925687,0.264943457,0.43457189,0.266558966,5.7,53.2,50.2,0.372204473,33,90,7,54,57,35,3,22,4,305,0.408637874,0,4,0,0,426,34,0,43,0,0.00618238,0,0,12227,Tathra,Very good,2550,6.35168151,TATHRA,-36.63575,149.857154,
SSC12301,49,800,348,90,792,1.2,662,2.2,1,85,46,6,3,3,140,0,0,3,0,143,0.979020979,0,0,0.916083916,0.041958042,13,43,52,17,4,3,3,132,0.098484848,0.325757576,0.393939394,0.181818182,11,48.2,42.9,0.253731343,10,5,3,13,16,0,0,13,0,60,0.25,0,0,0,4,68,5,0,8,0,0,0,0,12301,Towamba,Very poor,2550,209.6141277,TOWAMBA,-36.63575,149.857154,
SSC12371,45,1300,463,150,995,1.1,926,2.4,0.98089172,80,68,12,0,3,163,0,0,0,0,163,1,0,0,0.90797546,0.073619632,12,23,74,40,9,0,4,158,0.075949367,0.14556962,0.46835443,0.310126582,4.4,54.5,52.1,0.384615385,14,18,7,15,16,9,0,8,0,87,0.367816092,0,0,0,0,107,5,0,6,0,0,0,0,12371,Verona,Poor,2550,72.47978429,VERONA,-36.63575,149.857154,
SSC12393,47,1300,572,270,1323,1.1,1138,2.5,1,79,70,22,0,4,172,0,0,3,0,175,0.982857143,0,0,0.851428571,0.125714286,3,28,79,47,9,3,4,169,0.017751479,0.165680473,0.467455621,0.349112426,2.1,61.9,60.6,0.420353982,8,32,6,16,23,9,0,9,0,103,0.388349515,0,0,0,0,144,16,0,5,0,0,0,0,12393,Wallagoot,Poor,2550,41.30730933,WALLAGOOT,-36.63575,149.857154,
SSC12406,49,867,333,150,808,1.1,718,2.4,0.956140351,73,35,11,0,3,122,0,0,0,0,122,1,0,0,0.885245902,0.090163934,5,20,55,20,11,4,4,115,0.043478261,0.173913043,0.47826087,0.304347826,5.7,48.4,45.7,0.330188679,14,15,3,6,6,3,3,4,0,54,0.537037037,0,0,0,0,55,0,0,6,0,0,0,0,12406,Wandella (NSW),Poor,2550,102.294365,WANDELLA (NSW),-36.63575,149.857154,
SSC12536,45,1250,514,173,1129,1.1,1029,2.6,0.980327869,130,132,45,0,14,315,0,3,3,0,321,0.981308411,0.009345794,0,0.816199377,0.140186916,11,41,159,85,7,7,9,310,0.035483871,0.132258065,0.512903226,0.319354839,6.3,58.5,54.8,0.238255034,9,45,10,43,30,22,3,26,3,191,0.287234043,0,0,0,0,275,19,0,10,0,0,0,0,12536,Wolumla,Acceptable,2550,71.18304249,WOLUMLA,-36.63575,149.857154,
SSC12585,48,916,374,150,789,1.2,724,2.3,0.971153846,109,59,39,3,3,210,0,0,3,0,213,0.985915493,0,0,0.788732394,0.183098592,22,52,85,38,8,0,4,205,0.107317073,0.253658537,0.414634146,0.224390244,9.6,47.2,42.7,0.311004785,9,15,11,21,21,12,0,9,0,98,0.244897959,0,0,0,0,119,8,0,6,0,0,0,0,12585,Wyndham (NSW),Poor,2550,324.9588553,WYNDHAM (NSW),-36.63575,149.857154,
SSC11285,36,2500,823,73,1733,1.5,1395,1.9,0.867647059,18,7,30,9,40,26,10,23,0,45,104,0.25,0.221153846,0.096153846,0.240384615,0.288461538,15,22,7,0,0,18,38,62,0.241935484,0.35483871,0.112903226,0.290322581,0.8,57.9,57.5,0.373540856,51,23,5,24,15,16,3,6,0,143,0.517482517,3,5,0,0,39,3,0,155,0.008241758,0.013736264,0,0,11285,Kosciuszko National Park,Very good,2625,1.08391353,KOSCIUSZKO NATIONAL PARK,-36.50661,148.301005,
SSC10773,40,2167,737,300,1640,1.1,1416,2.9,1,55,60,27,0,5,144,3,0,0,0,147,0.979591837,0,0.020408163,0.782312925,0.183673469,3,15,55,42,16,6,7,137,0.02189781,0.109489051,0.401459854,0.467153285,1.3,55.4,54.7,0.418719212,12,25,9,17,21,13,3,5,0,105,0.352380952,0,0,0,0,145,15,0,6,0,0,0,0,10773,East Jindabyne,Very good,2627,8.82124475,EAST JINDABYNE,-36.441153,148.511421,
SSC11184,31,1600,686,260,1508,1.1,1239,2.4,0.964444444,176,242,267,3,40,419,95,167,32,15,728,0.575549451,0.229395604,0.130494505,0.574175824,0.366758242,40,141,296,150,32,25,35,684,0.058479532,0.206140351,0.432748538,0.302631579,1.7,69.8,68.5,0.301657459,80,91,33,115,129,97,4,59,10,618,0.28125,6,0,0,0,684,119,4,152,0.004441155,0,0,0.00296077,11184,Jindabyne,Good,2627,142.3077832,JINDABYNE,-36.441153,148.511421,
SSC11196,54,1170,452,205,1187,1.1,1042,2.3,1,32,19,13,0,0,60,0,4,0,0,64,0.9375,0.0625,0,0.796875,0.203125,3,9,27,19,7,0,0,65,0.046153846,0.138461538,0.415384615,0.4,8.1,55.8,51.3,0.265060241,9,6,3,6,12,6,0,3,0,45,0.333333333,0,0,0,0,50,6,3,3,0,0,0,0.037037037,11196,Kalkite,Very good,2627,25.42720825,KALKITE,-36.441153,148.511421,
SSC11285,36,2500,823,73,1733,1.5,1395,1.9,0.867647059,18,7,30,9,40,26,10,23,0,45,104,0.25,0.221153846,0.096153846,0.240384615,0.288461538,15,22,7,0,0,18,38,62,0.241935484,0.35483871,0.112903226,0.290322581,0.8,57.9,57.5,0.373540856,51,23,5,24,15,16,3,6,0,143,0.517482517,3,5,0,0,39,3,0,155,0.008241758,0.013736264,0,0,11285,Kosciuszko National Park,Very good,2627,2133.754191,KOSCIUSZKO NATIONAL PARK,-36.441153,148.511421,
SSC11582,38,2100,679,270,1750,1.1,1409,2.7,0.99009901,111,139,58,3,0,308,3,0,0,0,311,0.990353698,0,0.009646302,0.803858521,0.186495177,15,38,124,101,19,7,3,304,0.049342105,0.125,0.407894737,0.417763158,2.5,74.9,73,0.309589041,37,45,12,23,57,32,0,22,4,232,0.359649123,0,3,0,0,326,29,0,11,0,0.005780347,0,0,11582,Moonbah,Poor,2627,1264.150816,MOONBAH,-36.441153,148.511421,
SSC10193,43,1270,549,185,1264,1.1,973,2.4,0.948717949,259,186,142,3,10,472,87,25,16,0,600,0.786666667,0.041666667,0.145,0.741666667,0.236666667,24,97,304,126,25,13,5,589,0.040747029,0.164685908,0.516129032,0.278438031,2.3,65,63.5,0.229885057,66,68,19,71,70,43,0,41,0,378,0.354497354,0,6,0,0,520,40,4,50,0,0.007509387,0,0.005006258,10193,Berridale,Acceptable,2628,986.0455357,BERRIDALE,-36.438997,148.701689,
SSC10677,49,1300,500,0,1142,1,1156,2.1,1,51,25,11,0,0,87,0,0,0,0,87,1,0,0,0.873563218,0.126436782,4,10,42,19,5,4,3,84,0.047619048,0.119047619,0.5,0.333333333,2.7,58.5,57,0.419354839,12,12,3,6,9,6,3,3,3,57,0.444444444,0,3,0,0,58,3,0,6,0,0.027522936,0,0,10677,Dalgety,Very good,2628,211.5726784,DALGETY,-36.438997,148.701689,
